trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate,better_than_tournament
fp_1.bz2,29,8,5,6,53760,0.828,1
fp_2.bz2,29,8,5,6,53760,0.974,1
int_1.bz2,29,8,5,6,53760,8.347,1
int_2.bz2,29,8,5,6,53760,0.318,1
mm_1.bz2,29,8,5,7,61440,2.226,1
mm_2.bz2,29,8,5,7,61440,7.255,1
fp_1.bz2,29,8,5,7,61440,0.828,1
fp_2.bz2,29,8,5,7,61440,0.973,1
int_1.bz2,29,8,5,7,61440,7.971,1
int_2.bz2,29,8,5,7,61440,0.317,1
mm_1.bz2,29,8,6,6,53760,3.176,0
mm_1.bz2,29,8,6,7,61440,2.333,1
mm_2.bz2,29,8,6,7,61440,7.722,1
fp_1.bz2,29,8,6,7,61440,0.832,1
fp_2.bz2,29,8,6,7,61440,0.985,1
int_1.bz2,29,8,6,7,61440,8.041,1
int_2.bz2,29,8,6,7,61440,0.333,1
mm_1.bz2,30,8,4,6,55552,2.213,1
mm_2.bz2,30,8,4,6,55552,7.115,1
fp_1.bz2,30,8,4,6,55552,0.827,1
fp_2.bz2,30,8,4,6,55552,1.009,1
int_1.bz2,30,8,4,6,55552,8.456,1
int_2.bz2,30,8,4,6,55552,0.320,1
mm_1.bz2,30,8,4,7,63488,2.169,1
mm_2.bz2,30,8,4,7,63488,7.114,1
fp_1.bz2,30,8,4,7,63488,0.827,1
fp_2.bz2,30,8,4,7,63488,1.009,1
int_1.bz2,30,8,4,7,63488,8.316,1
int_2.bz2,30,8,4,7,63488,0.320,1
mm_1.bz2,30,8,5,6,55552,2.350,1
mm_2.bz2,30,8,5,6,55552,7.251,1
fp_1.bz2,30,8,5,6,55552,0.828,1
fp_2.bz2,30,8,5,6,55552,0.972,1
int_1.bz2,30,8,5,6,55552,8.299,1
int_2.bz2,30,8,5,6,55552,0.320,1
mm_1.bz2,30,8,5,7,63488,2.141,1
mm_2.bz2,30,8,5,7,63488,7.234,1
fp_1.bz2,30,8,5,7,63488,0.828,1
fp_2.bz2,30,8,5,7,63488,0.971,1
int_1.bz2,30,8,5,7,63488,7.916,1
int_2.bz2,30,8,5,7,63488,0.318,1
mm_1.bz2,30,8,6,6,55552,3.171,0
mm_1.bz2,30,8,6,7,63488,2.355,1
mm_2.bz2,30,8,6,7,63488,7.677,1
fp_1.bz2,30,8,6,7,63488,0.832,1
fp_2.bz2,30,8,6,7,63488,0.981,1
int_1.bz2,30,8,6,7,63488,7.996,1
int_2.bz2,30,8,6,7,63488,0.333,1
mm_1.bz2,31,8,4,6,57344,2.137,1
mm_2.bz2,31,8,4,6,57344,7.096,1
fp_1.bz2,31,8,4,6,57344,0.827,1
fp_2.bz2,31,8,4,6,57344,1.009,1
int_1.bz2,31,8,4,6,57344,8.445,1
int_2.bz2,31,8,4,6,57344,0.322,1
mm_1.bz2,31,8,5,6,57344,2.150,1
mm_2.bz2,31,8,5,6,57344,7.217,1
fp_1.bz2,31,8,5,6,57344,0.828,1
fp_2.bz2,31,8,5,6,57344,0.973,1
int_1.bz2,31,8,5,6,57344,8.254,1
int_2.bz2,31,8,5,6,57344,0.320,1
mm_1.bz2,31,8,6,6,57344,2.918,0
mm_1.bz2,32,8,4,6,59136,2.150,1
mm_2.bz2,32,8,4,6,59136,7.086,1
fp_1.bz2,32,8,4,6,59136,0.827,1
fp_2.bz2,32,8,4,6,59136,1.060,1
int_1.bz2,32,8,4,6,59136,8.446,1
int_2.bz2,32,8,4,6,59136,0.321,1
mm_1.bz2,32,8,5,6,59136,2.176,1
mm_2.bz2,32,8,5,6,59136,7.188,1
fp_1.bz2,32,8,5,6,59136,0.828,1
fp_2.bz2,32,8,5,6,59136,0.972,1
int_1.bz2,32,8,5,6,59136,8.270,1
int_2.bz2,32,8,5,6,59136,0.321,1
mm_1.bz2,32,8,6,6,59136,2.876,0
mm_1.bz2,33,8,4,6,60928,2.226,1
mm_2.bz2,33,8,4,6,60928,7.082,1
fp_1.bz2,33,8,4,6,60928,0.826,1
fp_2.bz2,33,8,4,6,60928,1.059,1
int_1.bz2,33,8,4,6,60928,8.436,1
int_2.bz2,33,8,4,6,60928,0.318,1
mm_1.bz2,33,8,5,6,60928,2.203,1
mm_2.bz2,33,8,5,6,60928,7.170,1
fp_1.bz2,33,8,5,6,60928,0.829,1
fp_2.bz2,33,8,5,6,60928,0.972,1
int_1.bz2,33,8,5,6,60928,8.261,1
int_2.bz2,33,8,5,6,60928,0.320,1
mm_1.bz2,33,8,6,6,60928,2.770,0
mm_1.bz2,34,8,4,6,62720,2.145,1
mm_2.bz2,34,8,4,6,62720,7.079,1
fp_1.bz2,34,8,4,6,62720,0.826,1
fp_2.bz2,34,8,4,6,62720,1.060,1
int_1.bz2,34,8,4,6,62720,8.455,1
int_2.bz2,34,8,4,6,62720,0.317,1
mm_1.bz2,34,8,5,6,62720,2.133,1
mm_2.bz2,34,8,5,6,62720,7.156,1
fp_1.bz2,34,8,5,6,62720,0.828,1
fp_2.bz2,34,8,5,6,62720,0.972,1
int_1.bz2,34,8,5,6,62720,8.257,1
int_2.bz2,34,8,5,6,62720,0.320,1
mm_1.bz2,34,8,6,6,62720,2.805,0
mm_1.bz2,35,8,4,6,64512,2.017,1
mm_2.bz2,35,8,4,6,64512,7.062,1
fp_1.bz2,35,8,4,6,64512,0.828,1
fp_2.bz2,35,8,4,6,64512,1.059,1
int_1.bz2,35,8,4,6,64512,8.455,1
int_2.bz2,35,8,4,6,64512,0.321,1
mm_1.bz2,35,8,5,6,64512,2.043,1
mm_2.bz2,35,8,5,6,64512,7.135,1
fp_1.bz2,35,8,5,6,64512,0.829,1
fp_2.bz2,35,8,5,6,64512,0.971,1
int_1.bz2,35,8,5,6,64512,8.250,1
int_2.bz2,35,8,5,6,64512,0.320,1
mm_1.bz2,35,8,6,6,64512,2.842,0
